item_id,item_name,item_type,brand_id,unit_volume,description,image_url
17,Guinness Draught - 6 Pack,Beer,8,2,"Guinness Draught is the draft version of the Irish stout. It is charged with a combination of carbon dioxide and nitrogen rather than the former alone. This gives the beer a smooth, velvety mouthfeel.",NULL
18,Guinness Draught - 12 Pack,Beer,8,4,"Guinness Draught is the draft version of the Irish stout. It is charged with a combination of carbon dioxide and nitrogen rather than the former alone. This gives the beer a smooth, velvety mouthfeel.",NULL
19,Guinness Draught - 24 Pack,Beer,8,8,"Guinness Draught is the draft version of the Irish stout. It is charged with a combination of carbon dioxide and nitrogen rather than the former alone. This gives the beer a smooth, velvety mouthfeel.",NULL
20,Heineken Lager - 6 Pack,Beer,10,2,"Smooth, nicely blended bitterness, clean finish. Wherever you go in the world, it's always refreshing to see something you recognize. That green bottle, the red star, the smiling 'e' like an instant welcome from an old friend. Cold, fresh, high quality Heineken. Enjoyed near and far since 1873.",NULL
21,Heineken Lager - 12 Pack,Beer,10,4,"Smooth, nicely blended bitterness, clean finish. Wherever you go in the world, it's always refreshing to see something you recognize. That green bottle, the red star, the smiling 'e' like an instant welcome from an old friend. Cold, fresh, high quality Heineken. Enjoyed near and far since 1873.",NULL
22,Heineken Lager - 24 Pack,Beer,10,8,"Smooth, nicely blended bitterness, clean finish. Wherever you go in the world, it's always refreshing to see something you recognize. That green bottle, the red star, the smiling 'e' like an instant welcome from an old friend. Cold, fresh, high quality Heineken. Enjoyed near and far since 1873.",NULL
23,Lagunitas IPA - 6 Pack,Beer,11,2,"A well-rounded, Highly drinkable India Pale Ale. A bit of Caramel Malt barley provides the richness that mellows out the twang of the hops, including Cascade, Centennial, Chinook and a splash of honorary C hop, Simcoe. Best enjoyed from mustache.",NULL
24,Lagunitas IPA - 12 Pack,Beer,11,4,"A well-rounded, Highly drinkable India Pale Ale. A bit of Caramel Malt barley provides the richness that mellows out the twang of the hops, including Cascade, Centennial, Chinook and a splash of honorary C hop, Simcoe. Best enjoyed from mustache.",NULL
25,Lagunitas IPA - 24 Pack,Beer,11,8,"A well-rounded, Highly drinkable India Pale Ale. A bit of Caramel Malt barley provides the richness that mellows out the twang of the hops, including Cascade, Centennial, Chinook and a splash of honorary C hop, Simcoe. Best enjoyed from mustache.",NULL
26,Michelob ULTRA - 6 Pack,Beer,5,2,"Michelob ULTRA is a superior light beer that is made for those living active and balanced lifestyles. This light lager is brewed with Herkules hops and wholesome grains, creating exceptional taste and a crisp, refreshing finish.",NULL
27,Michelob ULTRA - 12 Pack,Beer,5,4,"Michelob ULTRA is a superior light beer that is made for those living active and balanced lifestyles. This light lager is brewed with Herkules hops and wholesome grains, creating exceptional taste and a crisp, refreshing finish.",NULL
28,Michelob ULTRA - 24 Pack,Beer,5,8,"Michelob ULTRA is a superior light beer that is made for those living active and balanced lifestyles. This light lager is brewed with Herkules hops and wholesome grains, creating exceptional taste and a crisp, refreshing finish.",NULL
29,Miller Lite - 6 Pack,Beer,3,2,"Miller Lite was the first successful mainstream light beer in the United States market. After its first inception as Gablinger's Diet Beer, developed in 1967 by Joseph L. Owades, PhD, a biochemist working for New York's Rheingold Brewery, the recipe was given by Owades to Chicago's Peter Hand Brewing.",NULL
30,Miller Lite - 12 Pack,Beer,3,4,"Miller Lite was the first successful mainstream light beer in the United States market. After its first inception as Gablinger's Diet Beer, developed in 1967 by Joseph L. Owades, PhD, a biochemist working for New York's Rheingold Brewery, the recipe was given by Owades to Chicago's Peter Hand Brewing.",NULL
31,Miller Lite - 24 Pack,Beer,3,8,"Miller Lite was the first successful mainstream light beer in the United States market. After its first inception as Gablinger's Diet Beer, developed in 1967 by Joseph L. Owades, PhD, a biochemist working for New York's Rheingold Brewery, the recipe was given by Owades to Chicago's Peter Hand Brewing.",NULL
32,Modelo Especial - 6 Pack,Beer,7,2,"Well-balanced taste and light hop character with a crisp, clean finish. Modelo Especial is characterized by an orange blossom honey aroma with a hint of herb. Modelo Especial contains Water, Barley Malt, Non-malted Cereals and Hops.",NULL
33,Modelo Especial - 12 Pack,Beer,7,4,"Well-balanced taste and light hop character with a crisp, clean finish. Modelo Especial is characterized by an orange blossom honey aroma with a hint of herb. Modelo Especial contains Water, Barley Malt, Non-malted Cereals and Hops.",NULL
34,Modelo Especial - 24 Pack,Beer,7,8,"Well-balanced taste and light hop character with a crisp, clean finish. Modelo Especial is characterized by an orange blossom honey aroma with a hint of herb. Modelo Especial contains Water, Barley Malt, Non-malted Cereals and Hops.",NULL
35,Voodoo Ranger Rotating IPA Series - 6 Pack,Beer,22,2,New Belgium Brewing's Voodoo Ranger IPA is giving control to its fans this month by allowing them to choose the brand's first IPA rotator of 2021.,New-Belgium-Voodoo-Ranger-Rotating-IPA-Series-1.jpg
36,Voodoo Ranger Rotating IPA Series - 12 Pack,Beer,22,4,New Belgium Brewing's Voodoo Ranger IPA is giving control to its fans this month by allowing them to choose the brand's first IPA rotator of 2021.,New-Belgium-Voodoo-Ranger-Rotating-IPA-Series-1.jpg
37,Voodoo Ranger Rotating IPA Series - 24 Pack,Beer,22,8,New Belgium Brewing's Voodoo Ranger IPA is giving control to its fans this month by allowing them to choose the brand's first IPA rotator of 2021.,New-Belgium-Voodoo-Ranger-Rotating-IPA-Series-1.jpg
38,Nite Lite Craft Light Lager - 6 Pack,Beer,13,2,"A craft light lager thatp pours sunny gold with a soft, white head. Aromas of fresh bread on the nose. Sips crisp and refreshing, with hints of biscuit and citrus. Finishes clean and light, inviting another sip. 120 calories .",Night-Shift-Nite-Lite-Craft-Light-Lager.jpg
39,Nite Lite Craft Light Lager - 12 Pack,Beer,13,4,"A craft light lager thatp pours sunny gold with a soft, white head. Aromas of fresh bread on the nose. Sips crisp and refreshing, with hints of biscuit and citrus. Finishes clean and light, inviting another sip. 120 calories .",Night-Shift-Nite-Lite-Craft-Light-Lager.jpg
40,Nite Lite Craft Light Lager - 24 Pack,Beer,13,8,"A craft light lager thatp pours sunny gold with a soft, white head. Aromas of fresh bread on the nose. Sips crisp and refreshing, with hints of biscuit and citrus. Finishes clean and light, inviting another sip. 120 calories .",Night-Shift-Nite-Lite-Craft-Light-Lager.jpg
41,Night Shift Santilli IPA - 6 Pack,Beer,13,2,"The beer pours bright gold with a nose of grapefruit zest and pine needles. Begins with big citrus flavors and a light, malty sweetness. Finishes clean, pleasantly bitter, and crisp. A boldly flavored, beautifully balanced, smooth-sipping IPA for every occasion.",Night-Shift-Santilli-IPA.jpg
42,Night Shift Santilli IPA - 12 Pack,Beer,13,4,"The beer pours bright gold with a nose of grapefruit zest and pine needles. Begins with big citrus flavors and a light, malty sweetness. Finishes clean, pleasantly bitter, and crisp. A boldly flavored, beautifully balanced, smooth-sipping IPA for every occasion.",Night-Shift-Santilli-IPA.jpg
43,Night Shift Santilli IPA - 24 Pack,Beer,13,8,"The beer pours bright gold with a nose of grapefruit zest and pine needles. Begins with big citrus flavors and a light, malty sweetness. Finishes clean, pleasantly bitter, and crisp. A boldly flavored, beautifully balanced, smooth-sipping IPA for every occasion.",Night-Shift-Santilli-IPA.jpg
44,Stella Artois - 6 Pack,Beer,6,2,"Belgium/USA - Euro Pale Ale - 5.0% ABV. Brewed in US, staying true to the time-honored Belgian recipe, Crafted with three ingredients-saazhops, malted barley, and water giving its wonderful hop aroma, well-balanced malt sweetness, crisp hop bitterness and a soft dry finish.",NULL
45,Stella Artois - 12 Pack,Beer,6,4,"Belgium/USA - Euro Pale Ale - 5.0% ABV. Brewed in US, staying true to the time-honored Belgian recipe, Crafted with three ingredients-saazhops, malted barley, and water giving its wonderful hop aroma, well-balanced malt sweetness, crisp hop bitterness and a soft dry finish.",NULL
46,Stella Artois - 24 Pack,Beer,6,8,"Belgium/USA - Euro Pale Ale - 5.0% ABV. Brewed in US, staying true to the time-honored Belgian recipe, Crafted with three ingredients-saazhops, malted barley, and water giving its wonderful hop aroma, well-balanced malt sweetness, crisp hop bitterness and a soft dry finish.",NULL
47,AutoCAD 2022,Book,16,1,"AutoCAD 2022 Instructor is an ideal reference guide, unlike tutorial-oriented books where specific information is hard to relocate. Because these chapters focus on related commands, and complete coverage for each command is given in one place, the commands, procedures, and applications are easy to reference. Tabbed pages help locate tables, lists, appendices, and the comprehensive index.",autocad.png
48,AutoCAD 2022,Book,16,2,"AutoCAD 2022 Instructor is an ideal reference guide, unlike tutorial-oriented books where specific information is hard to relocate. Because these chapters focus on related commands, and complete coverage for each command is given in one place, the commands, procedures, and applications are easy to reference. Tabbed pages help locate tables, lists, appendices, and the comprehensive index.",autocad.png
49,Java Parsing Collection XML JSON,Book,17,1,"The complexity of life, because they do not understand to simplify the complex, simple is the beginning of wisdom. From the essence of practice, this book to briefly explain the concept and vividly cultivate programming interest, this book easy and quickly learn Java parse XML JSON and Collections.",javaparsing.png
50,Java Parsing Collection XML JSON,Book,17,2,"The complexity of life, because they do not understand to simplify the complex, simple is the beginning of wisdom. From the essence of practice, this book to briefly explain the concept and vividly cultivate programming interest, this book easy and quickly learn Java parse XML JSON and Collections.",javaparsing.png
51,Jump Start CSS,Book,18,1,"This short SitePoint book provides readers with a fun and yet practical introduction to Cascading Style Sheets, the language used to style and lay out all web pages. This book will quickly get you up to speed with the fundamentals of CSS and give you the confidence to start experimenting on your own.",jumpstartcss.png
52,Jump Start CSS,Book,18,2,"This short SitePoint book provides readers with a fun and yet practical introduction to Cascading Style Sheets, the language used to style and lay out all web pages. This book will quickly get you up to speed with the fundamentals of CSS and give you the confidence to start experimenting on your own.",jumpstartcss.png
53,Learn SQL,Book,19,1,"Learn SQL FastConcepts in this book are presented in a to-the-point and concise style to cater to the busy individual. With this book, you can learn SQL in just one day and start coding immediately.SQL for BeginnersComplex topics are broken down into simple steps with clear and carefully chosen examples to ensure that you can easily master SQL even if you have never coded before",sqloneday.png
54,Learn SQL,Book,19,2,"Learn SQL FastConcepts in this book are presented in a to-the-point and concise style to cater to the busy individual. With this book, you can learn SQL in just one day and start coding immediately.SQL for BeginnersComplex topics are broken down into simple steps with clear and carefully chosen examples to ensure that you can easily master SQL even if you have never coded before",sqloneday.png
55,Learning Linux binary Analysis,Book,20,1,"This book will start by taking you through UNIX/Linux object utilities, and will move on to teaching you all about the ELF specimen. You will learn about process tracing, and will explore the different types of Linux and UNIX viruses, and how you can make use of ELF Virus Technology to deal with them.",linuxbinary.png
56,Learning Linux binary Analysis,Book,20,2,"This book will start by taking you through UNIX/Linux object utilities, and will move on to teaching you all about the ELF specimen. You will learn about process tracing, and will explore the different types of Linux and UNIX viruses, and how you can make use of ELF Virus Technology to deal with them.",linuxbinary.png
57,Mastering matplotlib,Book,21,1,"Matplotlib is a Python plotting library that provides a large feature set for a multitude of platforms. Given the depth of the library's legacy and the variety of related open source projects, gaining expert knowledge can be a time-consuming and often confusing process.",matplotlib.png
58,Mastering matplotlib,Book,21,2,"Matplotlib is a Python plotting library that provides a large feature set for a multitude of platforms. Given the depth of the library's legacy and the variety of related open source projects, gaining expert knowledge can be a time-consuming and often confusing process.",matplotlib.png
59,Advanced Semiconductor Memories,Book,22,1,"A valuable reference for the most vital microelectronic components in the marketplace DRAMs are the technology drivers of high volume semiconductor fabrication processes for new generation products that, in addition to computer markets, are finding increased usage in automotive, aviation, military and space, telecommunications, and wireless industries.",semiconductormemories.png
60,Advanced Semiconductor Memories,Book,22,2,"A valuable reference for the most vital microelectronic components in the marketplace DRAMs are the technology drivers of high volume semiconductor fabrication processes for new generation products that, in addition to computer markets, are finding increased usage in automotive, aviation, military and space, telecommunications, and wireless industries.",semiconductormemories.png
61,Data Structures & Algorithm Analysis in Java,Book,12,1,"Techniques for representing data are presented within the context of assessing costs and benefits, promoting an understanding of the principles of algorithm analysis and the effects of a chosen physical medium. ",algorithmanalysis.png
62,Data Structures & Algorithm Analysis in Java,Book,12,2,"Techniques for representing data are presented within the context of assessing costs and benefits, promoting an understanding of the principles of algorithm analysis and the effects of a chosen physical medium. ",algorithmanalysis.png
63,"Full-Stack React, TypeScript, and Node",Book,23,1,"React sets the standard for building high-performance client-side web apps. Node.js is a scalable application server that is used in thousands of websites, while GraphQL is becoming the standard way for large websites to provide data and services to their users. Together, these technologies, when reinforced with the capabilities of TypeScript, provide a cutting-edge stack for complete web application development.",typescriptandnode.png
64,"Full-Stack React, TypeScript, and Node",Book,23,2,"React sets the standard for building high-performance client-side web apps. Node.js is a scalable application server that is used in thousands of websites, while GraphQL is becoming the standard way for large websites to provide data and services to their users. Together, these technologies, when reinforced with the capabilities of TypeScript, provide a cutting-edge stack for complete web application development.",typescriptandnode.png
65,Java Threads,Book,24,1,"This book discusses problems like deadlock, race conditions, and starvation in detail, helping you to write code without hidden bugs.Java Threads, Third Edition, has been thoroughly expanded and revised. It incorporates the concurrency utilities from java.util.concurrent throughout. New chapters cover thread performance, using threads with Swing, threads and Collection classes, thread pools, and threads and I/O . Developers who cannot yet deploy J2SE 5.0 can use thread utilities provided in the Appendix to achieve similar functionality with earlier versions of Java.",javathreads.png
66,Java Threads,Book,24,2,"This book discusses problems like deadlock, race conditions, and starvation in detail, helping you to write code without hidden bugs.Java Threads, Third Edition, has been thoroughly expanded and revised. It incorporates the concurrency utilities from java.util.concurrent throughout. New chapters cover thread performance, using threads with Swing, threads and Collection classes, thread pools, and threads and I/O . Developers who cannot yet deploy J2SE 5.0 can use thread utilities provided in the Appendix to achieve similar functionality with earlier versions of Java.",javathreads.png
67,JavaScript Async,Book,25,1,Asynchronous programming is essential to the modern web and at last JavaScript programmers have the tools to do the job - the Promise object and the async and await commands. These are so elegant in their design that you need to know about them if only to be impressed. It is likely that other languages will incorporate similar facilities in the future. While async and await make asynchronous code as easy to use as synchronous code there are a lot of subtle things going on and to really master the situation you need to know about Promises and you need to know how the JavaScript dispatch queue works.,javascriptasync.png
68,JavaScript Async,Book,25,2,Asynchronous programming is essential to the modern web and at last JavaScript programmers have the tools to do the job - the Promise object and the async and await commands. These are so elegant in their design that you need to know about them if only to be impressed. It is likely that other languages will incorporate similar facilities in the future. While async and await make asynchronous code as easy to use as synchronous code there are a lot of subtle things going on and to really master the situation you need to know about Promises and you need to know how the JavaScript dispatch queue works.,javascriptasync.png
69,JUnit Pocket Guide,Book,26,1,"JUnit, created by Kent Beck and Erich Gamma, is an open source framework for test-driven development in any Java-based code. JUnit automates unit testing and reduces the effort required to frequently test code while developing it.",junit.png
70,JUnit Pocket Guide,Book,26,2,"JUnit, created by Kent Beck and Erich Gamma, is an open source framework for test-driven development in any Java-based code. JUnit automates unit testing and reduces the effort required to frequently test code while developing it.",junit.png
71,Maven The Definitive Guide,Book,27,1,"For too long, developers have worked on disorganized application projects, where every part seemed to have its own build system, and no common repository existed for information about the state of the project. Now there's help. The long-awaited official documentation to Maven is here.",mavenguide.png
72,Maven The Definitive Guide,Book,27,2,"For too long, developers have worked on disorganized application projects, where every part seemed to have its own build system, and no common repository existed for information about the state of the project. Now there's help. The long-awaited official documentation to Maven is here.",mavenguide.png
73,MongoDB,Book,28,1,"This book is a comprehensive guide to MongoDB for application developers. The book begins by explaining what makes MongoDB unique and describing its ideal use cases. A series of chapters designed for MongoDB mastery then leads into detailed examples for leveraging MongoDB in e-commerce, social networking, analytics, and other common applications. Numerous examples will help you develop confidence in the crucial area of data modeling. This is well-organized book which provides proper explanation you'll need as a student and enough detail to satisfy a developer. Several examples will help you develop confidence in the crucial area of data modeling. You'll also love the deep explanations of each feature, including replication, auto-sharding, and deployment.",mongodb.png
74,MongoDB,Book,28,2,"This book is a comprehensive guide to MongoDB for application developers. The book begins by explaining what makes MongoDB unique and describing its ideal use cases. A series of chapters designed for MongoDB mastery then leads into detailed examples for leveraging MongoDB in e-commerce, social networking, analytics, and other common applications. Numerous examples will help you develop confidence in the crucial area of data modeling. This is well-organized book which provides proper explanation you'll need as a student and enough detail to satisfy a developer. Several examples will help you develop confidence in the crucial area of data modeling. You'll also love the deep explanations of each feature, including replication, auto-sharding, and deployment.",mongodb.png
75,React Design Patterns and Best Practices,Book,29,1,"Build high-performing applications by optimizing componentsIn DetailTaking a complete journey through the most valuable design patterns in React, this book demonstrates how to apply design patterns and best practices in real-life situations, whether that's for new or already existing projects. It will help you to make your applications more flexible, perform better, and easier to maintain - giving your workflow a huge boost when it comes to speed without reducing quality. ",reactdesign.png
76,React Design Patterns and Best Practices,Book,29,2,"Build high-performing applications by optimizing componentsIn DetailTaking a complete journey through the most valuable design patterns in React, this book demonstrates how to apply design patterns and best practices in real-life situations, whether that's for new or already existing projects. It will help you to make your applications more flexible, perform better, and easier to maintain - giving your workflow a huge boost when it comes to speed without reducing quality. ",reactdesign.png
